phenotype	measure	covariates	transformation	map_w_mixed	distr4bagphe
Activity	Boli_tot	"sex,batch,is.albino"			negative.binomial
Activity	Distance0_30	"sex,batch,is.albino"	boxcox		
Activity	Distance0_30_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Distance10_15	"sex,batch,is.albino"	boxcox		
Activity	Distance10_15_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Distance15_20	"sex,batch,is.albino"	boxcox		
Activity	Distance15_20_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Distance20_25	"sex,batch,is.albino"	boxcox		
Activity	Distance20_25_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Distance25	"sex,batch,is.albino"	boxcox		
Activity	Distance25_30	"sex,batch,is.albino"	boxcox		
Activity	Distance25_30_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Distance25_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Distance5	"sex,batch,is.albino"	boxcox		
Activity	Distance5_10	"sex,batch,is.albino"	boxcox		
Activity	Distance5_10_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Distance5_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Rearing0_30	"sex,batch,is.albino"	boxcox		
Activity	Rearing0_30_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Rearing10_15	"sex,batch,is.albino"	boxcox		
Activity	Rearing10_15_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Rearing15_20	"sex,batch,is.albino"	boxcox		
Activity	Rearing15_20_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Rearing20_25	"sex,batch,is.albino"	boxcox		
Activity	Rearing20_25_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Rearing25	"sex,batch,is.albino"	boxcox		
Activity	Rearing25_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Rearing5	"sex,batch,is.albino"	boxcox		
Activity	Rearing5_10	"sex,batch,is.albino"	boxcox		
Activity	Rearing5_10_bc	"sex,batch,is.albino"		yes	gaussian
Activity	Rearing5_bc	"sex,batch,is.albino"		yes	gaussian
Biochemistry	ALP	"sex,batch"	boxcox		
Biochemistry	ALP_bc	"sex,batch"		yes	gaussian
Biochemistry	ALT	"sex,batch,Haemalysis"	boxcox		
Biochemistry	ALT_bc	"sex,batch,Haemalysis"		yes	gaussian
Biochemistry	AST	"sex,batch,BW_at_day28_pi,Haemalysis"	boxcox		
Biochemistry	AST_bc	"sex,batch,BW_at_day28_pi,Haemalysis"		yes	gaussian
Biochemistry	Calcium	"sex,batch"	boxcox		
Biochemistry	Calcium_bc	"sex,batch"		yes	gaussian
Biochemistry	Chloride	"sex,batch"	boxcox		
Biochemistry	Chloride_bc	"sex,batch"		yes	gaussian
Biochemistry	Creatinine	"sex,batch"	boxcox		
Biochemistry	Creatinine_bc	"sex,batch"		yes	gaussian
Biochemistry	Glucose	"sex,batch"	boxcox		
Biochemistry	Glucose_bc	"sex,batch"		yes	gaussian
Biochemistry	HDL	"sex,batch"	boxcox		
Biochemistry	HDL_bc	"sex,batch"		yes	gaussian
Biochemistry	Iron	"sex,batch"	boxcox		
Biochemistry	Iron_bc	"sex,batch"		yes	gaussian
Biochemistry	LDL	"sex,batch"	boxcox		
Biochemistry	LDL_bc	"sex,batch"		yes	gaussian
Biochemistry	Potassium	"sex,batch,Haemalysis"	boxcox		
Biochemistry	Potassium_bc	"sex,batch,Haemalysis"		yes	gaussian
Biochemistry	Sodium	"sex,batch"	boxcox		
Biochemistry	Sodium_bc	"sex,batch"		yes	gaussian
Biochemistry	Tot.Chol	"sex,batch,Haemalysis"	boxcox		
Biochemistry	Tot.Chol_bc	"sex,batch,Haemalysis"		yes	gaussian
Biochemistry	Trig.	"sex,batch,BW_at_day28_pi"	boxcox		
Biochemistry	Trig._bc	"sex,batch,BW_at_day28_pi"		yes	gaussian
Biochemistry	Urea	"sex,batch,BW_at_day28_pi,Haemalysis"	boxcox		
Biochemistry	Urea_bc	"sex,batch,BW_at_day28_pi,Haemalysis"		yes	gaussian
Bone	AL	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	dist_femur_CRT_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	dist_femur_CRT_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	dist_femur_TOT_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	dist_femur_TOT_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	dist_femur_TRAB_A	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	dist_femur_TRAB_DEN	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_biomech_EL	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_biomech_Fu	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_biomech_S	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
Bone	fem_biomech_W	"sex,batch,BW_at_day9_pi,age"		yes	gaussian
